Country,Description
Afghanistan,"Afghanistan has a population of 38,041,754 people. The official language is Pashto, and its capital city is Kabul."
Albania,"Albania has a population of 2,854,191 people. The official language is Albanian, and its capital city is Tirana."
Algeria,"Algeria has a population of 43,053,054 people. The official language is Arabic, and its capital city is Algiers."
Andorra,"Andorra has a population of 77,142 people. The official language is Catalan, and its capital city is Andorra la Vella."
Angola,"Angola has a population of 31,825,295 people. The official language is Portuguese, and its capital city is Luanda."
Antigua and Barbuda,"Antigua and Barbuda has a population of 97,118 people. The official language is English, and its capital city is St. John's, Saint John."
Argentina,"Argentina has a population of 44,938,712 people. The official language is Spanish, and its capital city is Buenos Aires."
Armenia,"Armenia has a population of 2,957,731 people. The official language is Armenian, and its capital city is Yerevan."
Australia,"Australia has a population of 25,766,605 people. The official language is nan, and its capital city is Canberra."
Austria,"Austria has a population of 8,877,067 people. The official language is German, and its capital city is Vienna."
Azerbaijan,"Azerbaijan has a population of 10,023,318 people. The official language is Azerbaijani language, and its capital city is Baku."
The Bahamas,"The Bahamas has a population of 389,482 people. The official language is English, and its capital city is Nassau, Bahamas."
Bahrain,"Bahrain has a population of 1,501,635 people. The official language is Arabic, and its capital city is Manama."
Bangladesh,"Bangladesh has a population of 167,310,838 people. The official language is Bengali, and its capital city is Dhaka."
Barbados,"Barbados has a population of 287,025 people. The official language is English, and its capital city is Bridgetown."
Belarus,"Belarus has a population of 9,466,856 people. The official language is Russian, and its capital city is Minsk."
Belgium,"Belgium has a population of 11,484,055 people. The official language is French, and its capital city is City of Brussels."
Belize,"Belize has a population of 390,353 people. The official language is English, and its capital city is Belmopan."
Benin,"Benin has a population of 11,801,151 people. The official language is French, and its capital city is Porto-Novo."
Bhutan,"Bhutan has a population of 727,145 people. The official language is Dzongkha, and its capital city is Thimphu."
Bolivia,"Bolivia has a population of 11,513,100 people. The official language is Spanish, and its capital city is Sucre."
Bosnia and Herzegovina,"Bosnia and Herzegovina has a population of 3,301,000 people. The official language is Bosnian, and its capital city is Sarajevo."
Botswana,"Botswana has a population of 2,346,179 people. The official language is English, and its capital city is Gaborone."
Brazil,"Brazil has a population of 212,559,417 people. The official language is Portuguese, and its capital city is Bras���."
Brunei,"Brunei has a population of 433,285 people. The official language is Malay, and its capital city is Bandar Seri Begawan."
Bulgaria,"Bulgaria has a population of 6,975,761 people. The official language is Bulgarian, and its capital city is Sofia."
Burkina Faso,"Burkina Faso has a population of 20,321,378 people. The official language is French, and its capital city is Ouagadougou."
Burundi,"Burundi has a population of 11,530,580 people. The official language is Kirundi, and its capital city is Bujumbura."
Ivory Coast,"Ivory Coast has a population of 25,716,544 people. The official language is French, and its capital city is Yamoussoukro."
Cape Verde,"Cape Verde has a population of 483,628 people. The official language is Portuguese, and its capital city is Praia."
Cambodia,"Cambodia has a population of 16,486,542 people. The official language is Khmer language, and its capital city is Phnom Penh."
Cameroon,"Cameroon has a population of 25,876,380 people. The official language is French, and its capital city is Yaound�."
Canada,"Canada has a population of 36,991,981 people. The official language is French, and its capital city is Ottawa."
Central African Republic,"Central African Republic has a population of 4,745,185 people. The official language is French, and its capital city is Bangui."
Chad,"Chad has a population of 15,946,876 people. The official language is French, and its capital city is N'Djamena."
Chile,"Chile has a population of 18,952,038 people. The official language is Spanish, and its capital city is Santiago."
China,"China has a population of 1,397,715,000 people. The official language is Standard Chinese, and its capital city is Beijing."
Colombia,"Colombia has a population of 50,339,443 people. The official language is Spanish, and its capital city is Bogot�."
Comoros,"Comoros has a population of 850,886 people. The official language is French, and its capital city is Moroni, Comoros."
Republic of the Congo,"Republic of the Congo has a population of 5,380,508 people. The official language is French, and its capital city is Brazzaville."
Costa Rica,"Costa Rica has a population of 5,047,561 people. The official language is Spanish, and its capital city is San Jos������."
Croatia,"Croatia has a population of 4,067,500 people. The official language is Croatian, and its capital city is Zagreb."
Cuba,"Cuba has a population of 11,333,483 people. The official language is Spanish, and its capital city is Havana."
Cyprus,"Cyprus has a population of 1,198,575 people. The official language is Greek, and its capital city is Nicosia."
Czech Republic,"Czech Republic has a population of 10,669,709 people. The official language is Czech, and its capital city is Prague."
Democratic Republic of the Congo,"Democratic Republic of the Congo has a population of 86,790,567 people. The official language is French, and its capital city is Kinshasa."
Denmark,"Denmark has a population of 5,818,553 people. The official language is Danish, and its capital city is Copenhagen."
Djibouti,"Djibouti has a population of 973,560 people. The official language is French, and its capital city is Djibouti City."
Dominica,"Dominica has a population of 71,808 people. The official language is English, and its capital city is Roseau."
