City,Hard,Easy
Addis Abeba,We take the bull by the horns and leave the spring for a well-known tributary for a journey through the historic land of cats toward a city with a battery designation.,"It is now time to addis-ize, excuse me, to announce our arrival in the capital of Ethiopia."
Bagdad,"We leave behind the fundamental sun god in the south and travel toward the country's center. With a melancholy dam and a dad with a bag, you get a straight Anglo-Saxon guide to the final destination.","We have now arrived in the capital where Saddam Hussein once ruled. Don't forget to pick your bag, dad!"
Bali,This time we travel to a distinct region that always shows the correct time.,"Partying in shorts and tank tops or a ball in a dress, yes, on our Indonesian vacation island with four letters, you can find both."
Bangkok,"We start in a tourist town that loves to party, and at the final destination, the food is on the stove. Apparently, it's Olufsen's friend being cooked.","If you're familiar with Thai, you know that our capital is actually called Krung Thep."
Beirut,"We leave behind a disguised city where people are once again embroidering and travel westward toward a city that is, in a way, divided by Alvik, Odenplan, and Skanstull.","It wasn’t Ruth, but rather the Phoenicians who named this B-city, which is now the capital of Lebanon."
Bombay,"We leave the world’s most comfortable city and travel northward toward explosive pain. In 2008, it really blew up.","Flying Jakob, if a Bavarian gentleman gets to choose, chicken curry if the locals get to say. We’re on India’s west coast in the country’s most populous city."
Boston,"The entrance to this journey is just an entrance, and the destination of this journey has also been an entrance for many. We are looking for a central cheese in cheese and the center of the ivy league.","We have now arrived in the capital of Massachusetts, known for the marathon bombing and the tea party."
Brisbane,"We head toward the capital city in Freddy Mercury's land, where the waves are big despite moderate wind.","This is where Britain once sent convicts, and here in Australia's third-largest city, the organization Barnens Rätt i Samhället (Children’s Rights in Society) begins."
Budapest,"We leave a wet city in O-land and travel toward a B-city in U-land. The journey goes through an old dual monarchy, from east to east. At the final destination, Swedish beef is a fitting clue.

","I neither say ""boo"" nor ""plague,"" but I’d gladly take a goulash here in Hungary’s capital, where Raoul Wallenberg is still a hero."
Buenos Aires,"We travel along the milonga shores of the Silver River, seeking the city with the ""good air."" The journey goes south from one sunny country to another, where mustaches are discounted.","""An angry Tina"" is an anagram of the country's and tango's capital on the shores of the Río de la Plata."
Chicago,We leave a native lawman in his country and travel north toward a large lake that bears the name of an eastern neighbor. We sneak a peek at the beginning of a city where a Middle Eastern river has had a significant influence.,"Oh, dear God, what a large airport this chic city, known for jazz, blues, and house music, has."
Casablanca,"Take in the local cuisine, for we now leave a culinary marketplace and travel northward toward a classic film city that is, in a way, known as a presidential palace. No, this was not a good introduction.","We have now arrived in Morocco's largest city, and here Ingrid Bergman filmed her classic movie."
Damaskus,We leave the amplitude modulation guy and head toward the neighboring country in the north and to the city where Desmond Miles has operated. A makeup bag will take you part of the way.,"We have now arrived in the capital of a war-torn Middle Eastern country where, hopefully, peace will soon be achieved, and the deep wounds will be stitched up."
Doha,"We take the crooner under our arm and head toward a male-dominated city where Barshim made his mark. A backup singer is a clue to the city that, despite this, likes to be in the spotlight.","We have now arrived in a four-letter city in an emirate that will host the 2022 FIFA World Cup. The preparations have been controversial, and the Discrimination Ombudsman (DO) would likely have something to say about it."
Havanna,"We set our sights on a city by and with a large body of water, and Daniel Ståhl on the couch brings this place to mind.","""The girl from our city in the Caribbean"" is a popular song, but has Vanna been here in Cuba’s capital?

"
Jakarta,"We leave behind a grumpy runner-up in I-, U-, and O-land. Tibetan yaks will help you all the way to the capital we are now seeking.","Has my dear friend found their way to the capital of Indonesia?
Yes, map and compass made this journey a breeze.
"
Jerusalem,"We leave a light noble gas with a river crossing, which is also the largest city in an area that brings to mind JP Morgan and Citigroup. We head north toward a large central room in a city where a Swedish bus driver made his last journey.","We have now arrived in a city that is a center for three world religions. If you know where the Western Wall, the Temple Mount, and the Dome of the Rock are, then you know the city."
Johannesburg,We leave an urban port city starting with D and head north toward a city on and with a ridge. A man in a famous twelve with his own cheerful message is a clue to this trade and finance center.,"They didn’t divide Mandela here, but he lived in our South African “burg” just south of Pretoria."
Kairo,"We leave behind a former book collection and travel south through a five-sided country. In the central parts of our city, the air is polluted.","Throw back your yogurt and hop in the car because we’re taking a trip to... oh Pharaoh, Cairo is rowing in the wrong direction"
Kapstaden,We leave Apostle City in the north and travel towards Mother City in the southwest. The journey goes from capital to capital in a country marked by a long chess match.,We are heading for the so-called monkey city in southernmost Africa.
Katmandu,"In a way, we're traveling close to historical pizza against the backdrop of some tractor-trailers.","Klibbal, gray alder and nepal do not grow at these heights. And when we now approach the cat's nest, it's not a cat we're looking for, it's the capital of Nepal."
Kingston,We're leaving the old buccaneer stronghold and heading for the royal city in the land of the queen. Female horses finish at the destination. ,We are in Jamaica and in our capital city Bob Marley created royal sounds.
Kinshasa,We roar off from the capital of the country to half the name of the final destination. Our k-marked city is literally in sight right from the start. ,It's now time to embark on a journey to the capital of the Democratic Republic of Congo.
Kuala Lumpur,We are heading for the city where the clock in the crossword is a double clue and where a signal to the computer department provides a financial guide. ,"We've arrived in Malaysia's capital, popularly known as KL."
